,AAPL,MSFT,XOM
2003-01-02 00:00:00,7.4,21.11,29.22
2003-01-03 00:00:00,7.45,21.14,29.24
2003-01-06 00:00:00,7.45,21.52,29.96
2003-01-07 00:00:00,7.43,21.93,28.95
2003-01-08 00:00:00,7.28,21.31,28.83
2003-01-09 00:00:00,7.34,21.93,29.44
2003-01-10 00:00:00,7.36,21.97,29.03
2003-01-13 00:00:00,7.32,22.16,28.91
2003-01-14 00:00:00,7.3,22.39,29.17
2003-01-15 00:00:00,7.22,22.11,28.77
2003-01-16 00:00:00,7.31,21.75,28.9
2003-01-17 00:00:00,7.05,20.22,28.6
2003-01-21 00:00:00,7.01,20.17,27.94
2003-01-22 00:00:00,6.94,20.04,27.58
2003-01-23 00:00:00,7.09,20.54,27.52
2003-01-24 00:00:00,6.9,19.59,26.93
2003-01-27 00:00:00,7.07,19.32,26.21
2003-01-28 00:00:00,7.29,19.18,26.9
2003-01-29 00:00:00,7.47,19.61,27.88
2003-01-30 00:00:00,7.16,18.95,27.37
2003-01-31 00:00:00,7.18,18.65,28.13
2003-02-03 00:00:00,7.33,19.08,28.52
2003-02-04 00:00:00,7.3,18.59,28.52
2003-02-05 00:00:00,7.22,18.45,28.11
2003-02-06 00:00:00,7.22,18.63,27.87
2003-02-07 00:00:00,7.07,18.3,27.66
2003-02-10 00:00:00,7.18,18.62,27.87
2003-02-11 00:00:00,7.18,18.25,27.67
2003-02-12 00:00:00,7.2,18.25,27.12
2003-02-13 00:00:00,7.27,18.46,27.47
2003-02-14 00:00:00,7.34,18.98,27.73
2003-02-18 00:00:00,7.64,19.61,27.99
2003-02-19 00:00:00,7.43,19.34,28.01
2003-02-20 00:00:00,7.39,19.03,27.89
2003-02-21 00:00:00,7.5,19.42,28.34
2003-02-24 00:00:00,7.37,18.98,28.19
2003-02-25 00:00:00,7.51,19.07,28.31
2003-02-26 00:00:00,7.25,18.61,28.06
2003-02-27 00:00:00,7.43,18.59,28.18
2003-02-28 00:00:00,7.51,18.68,28.21
2003-03-03 00:00:00,7.32,18.56,28.58
2003-03-04 00:00:00,7.28,18.19,28.39
2003-03-05 00:00:00,7.31,18.48,28.96
2003-03-06 00:00:00,7.28,18.35,28.66
2003-03-07 00:00:00,7.26,18.57,28.85
2003-03-10 00:00:00,7.18,18.09,28.48
2003-03-11 00:00:00,7.11,17.98,28.67
2003-03-12 00:00:00,7.11,18.44,28.24
2003-03-13 00:00:00,7.36,19.45,28.6
2003-03-14 00:00:00,7.39,19.6,28.52
2003-03-17 00:00:00,7.51,20.44,29.07
2003-03-18 00:00:00,7.5,20.53,29.23
2003-03-19 00:00:00,7.47,20.75,29.51
2003-03-20 00:00:00,7.45,20.69,29.51
2003-03-21 00:00:00,7.5,20.95,29.85
2003-03-24 00:00:00,7.18,19.94,29.28
2003-03-25 00:00:00,7.28,20.1,29.58
2003-03-26 00:00:00,7.2,19.91,29.74
2003-03-27 00:00:00,7.24,19.74,29.79
2003-03-28 00:00:00,7.28,19.45,29.88
2003-03-31 00:00:00,7.07,19.09,28.98
2003-04-01 00:00:00,7.08,19.2,29.56
2003-04-02 00:00:00,7.3,20.28,29.6
2003-04-03 00:00:00,7.23,20.29,29.07
2003-04-04 00:00:00,7.2,19.78,29.45
2003-04-07 00:00:00,7.24,19.84,29.07
2003-04-08 00:00:00,7.22,20.17,28.68
2003-04-09 00:00:00,7.09,19.37,28.58
2003-04-10 00:00:00,7.18,19.39,28.76
2003-04-11 00:00:00,6.6,19.08,28.47
2003-04-14 00:00:00,6.79,19.52,28.92
2003-04-15 00:00:00,6.7,19.39,29.07
2003-04-16 00:00:00,6.62,19.65,28.77
2003-04-17 00:00:00,6.56,20.1,29.05
2003-04-21 00:00:00,6.57,19.88,28.92
2003-04-22 00:00:00,6.76,20.31,29.37
2003-04-23 00:00:00,6.79,20.28,29.31
2003-04-24 00:00:00,6.72,20.1,29.13
2003-04-25 00:00:00,6.68,19.88,28.85
2003-04-28 00:00:00,6.93,20.29,29.36
2003-04-29 00:00:00,7.03,20.34,28.88
2003-04-30 00:00:00,7.11,20.16,29.19
2003-05-01 00:00:00,7.18,20.28,29.42
2003-05-02 00:00:00,7.22,20.58,29.89
2003-05-05 00:00:00,8.05,20.39,29.4
2003-05-06 00:00:00,8.75,20.79,29.19
2003-05-07 00:00:00,8.82,20.49,29.36
2003-05-08 00:00:00,9.0,20.29,29.31
2003-05-09 00:00:00,9.15,20.78,29.62
2003-05-12 00:00:00,9.28,20.66,29.69
2003-05-13 00:00:00,9.34,20.49,29.67
2003-05-14 00:00:00,9.27,20.2,29.41
